timestamp,thumb,index,middle,ring,pinky,ch_1_raw,ch_1_ema_1,ch_1_ema_2,ch_1_ema_4,ch_1_ema_8,ch_1_ema_16,ch_1_ema_32,ch_1_ema_64,ch_1_ema_128,ch_2_raw,ch_2_ema_1,ch_2_ema_2,ch_2_ema_4,ch_2_ema_8,ch_2_ema_16,ch_2_ema_32,ch_2_ema_64,ch_2_ema_128,ch_3_raw,ch_3_ema_1,ch_3_ema_2,ch_3_ema_4,ch_3_ema_8,ch_3_ema_16,ch_3_ema_32,ch_3_ema_64,ch_3_ema_128,ch_4_raw,ch_4_ema_1,ch_4_ema_2,ch_4_ema_4,ch_4_ema_8,ch_4_ema_16,ch_4_ema_32,ch_4_ema_64,ch_4_ema_128,ch_5_raw,ch_5_ema_1,ch_5_ema_2,ch_5_ema_4,ch_5_ema_8,ch_5_ema_16,ch_5_ema_32,ch_5_ema_64,ch_5_ema_128,ch_6_raw,ch_6_ema_1,ch_6_ema_2,ch_6_ema_4,ch_6_ema_8,ch_6_ema_16,ch_6_ema_32,ch_6_ema_64,ch_6_ema_128,ch_7_raw,ch_7_ema_1,ch_7_ema_2,ch_7_ema_4,ch_7_ema_8,ch_7_ema_16,ch_7_ema_32,ch_7_ema_64,ch_7_ema_128,ch_8_raw,ch_8_ema_1,ch_8_ema_2,ch_8_ema_4,ch_8_ema_8,ch_8_ema_16,ch_8_ema_32,ch_8_ema_64,ch_8_ema_128
27134,0.9549619,0.55338126,0.9560866,0.9573043,0.96827966,-42.547165,42.547165,36.507538,35.468323,32.149483,27.021284,23.613644,21.950577,21.388292,10.053246,10.053246,6.979895,4.601795,3.260728,2.692729,2.4538217,2.38306,2.3906622,32.732788,32.732788,26.187437,19.62468,14.614321,11.411818,9.242302,8.085523,7.8728514,13.941042,13.941042,11.244329,8.894953,6.7009883,5.1645613,4.618035,4.6254444,4.8187613,10.887279,10.887279,7.921413,6.157904,5.475213,5.0584664,4.554304,4.175025,4.0804076,-7.985197,7.985197,5.7168508,4.5466123,4.517735,4.744605,4.8962793,5.142131,5.21851,29.106731,29.106731,21.9842,16.31976,13.820576,13.559206,13.705755,13.714593,13.197346,12.837253,12.837253,10.12341,8.579023,7.9632454,8.077203,9.492899,11.869238,14.004051
27142,0.95525265,0.5431347,0.9518486,0.95183355,0.9641226,6.8829055,6.8829055,14.147813,21.464802,25.257956,24.417606,22.66508,21.570822,21.214907,-2.1649384,2.1649384,2.6676273,3.0073164,2.8026965,2.5607572,2.4115899,2.3655078,2.3814983,-3.5126076,3.5126076,7.1686363,10.540485,11.112484,10.193452,8.860035,7.960975,7.8167667,-9.633726,9.633726,8.882021,8.362654,7.1357536,5.7195344,4.9691405,4.804009,4.902982,1.8862032,1.8862032,3.861536,4.8331504,5.072141,4.965445,4.574974,4.2114406,4.1025157,2.402185,2.402185,4.605979,5.156517,5.109572,5.083281,5.073377,5.222439,5.2579317,-28.449093,28.449093,23.61947,19.64233,16.402065,14.936117,14.385365,14.05564,13.384214,10.980572,10.980572,13.067774,12.473053,10.852732,9.739643,10.226897,12.108278,14.060929
27150,0.9573591,0.5473787,0.9551534,0.95503217,0.9662342,-9.638103,9.638103,15.04763,19.19684,22.904833,23.43751,22.391438,21.506517,21.19586,-1.8789995,1.8789995,2.697665,3.074717,3.0063663,2.7512693,2.5362809,2.434136,2.41625,-21.887041,21.887041,17.756851,15.107885,13.42869,11.61764,9.752049,8.469973,8.078314,-0.87755394,0.87755394,3.7178812,5.679208,6.180778,5.5586014,4.988047,4.827917,4.913132,-4.472961,4.472961,3.5860949,3.718185,4.1984825,4.473838,4.3531747,4.117385,4.0576644,8.371905,8.371905,7.38687,6.602439,5.957707,5.546883,5.3159213,5.337232,5.314823,-31.850801,31.850801,23.984663,19.948084,17.098513,15.434669,14.65726,14.2009735,13.474911,-21.453611,21.453611,16.845484,14.2501335,12.181335,10.616405,10.604594,12.181155,14.035868
27158,0.956099,0.55210924,0.9579498,0.9573754,0.9684201,14.53019,14.53019,14.238754,15.833342,19.324944,21.301958,21.378038,21.036982,20.966806,1.071139,1.071139,1.8872492,2.4786432,2.7360208,2.6760054,2.5268543,2.4368188,2.4185064,-4.01293,4.01293,9.291805,12.05903,12.626929,11.68611,10.038677,8.703405,8.210926,0.4268203,0.4268203,1.0855082,2.6341357,4.13551,4.559027,4.526995,4.60057,4.7952256,2.8181624,2.8181624,3.3369765,3.610338,3.9903286,4.3096776,4.28381,4.0968375,4.049303,8.899148,8.899148,10.060681,9.508263,8.153863,6.91033,6.0777225,5.7314835,5.5164256,1.1521628,1.1521628,7.29771,11.815987,13.605412,13.95744,13.994402,13.894603,13.343631,-39.858643,39.858643,35.9744,29.206177,22.083294,16.47221,13.703053,13.680066,14.739206
27166,0.9575552,0.5543818,0.9571463,0.9574228,0.9681496,2.8883398,2.8883398,6.547757,10.138662,14.696784,18.344498,19.819208,20.259174,20.575306,0.37336698,0.37336698,0.6939273,1.2958058,1.9211221,2.237246,2.3127677,2.3322365,2.366047,-2.0432274,2.0432274,2.4382644,5.205727,8.126544,9.358972,8.993765,8.2447815,7.9929757,-2.223103,2.223103,2.8284397,3.1613503,3.9491193,4.383544,4.443668,4.5547156,4.766348,0.39739072,0.39739072,1.7029157,2.6112685,3.3322663,3.9005623,4.0777974,4.004052,4.00418,-11.728425,11.728425,9.70255,8.941351,8.134481,7.1175313,6.2703495,5.8478417,5.581132,11.931783,11.931783,11.822781,12.328463,13.259921,13.698457,13.855953,13.830144,13.328072,41.202244,41.202244,31.80458,27.361526,22.778957,17.830187,14.6764345,14.164458,14.947817
27174,0.9544585,0.54755986,0.9534848,0.95368564,0.9664316,5.077474,5.077474,7.9193687,9.792315,12.979864,16.657688,18.772715,19.69875,20.282455,-1.0535355,1.0535355,0.79531217,0.90502465,1.4086087,1.873151,2.1088393,2.2254663,2.3106725,0.6185285,0.6185285,0.8711635,2.3243978,5.1996474,7.4469357,8.022272,7.789463,7.7695475,-2.634472,2.634472,2.6071913,2.771409,3.3917718,3.9733953,4.218506,4.4318113,4.697401,0.24720532,0.24720532,1.2462572,2.0025592,2.7647152,3.4826436,3.8420699,3.8887858,3.9460983,-0.69525075,0.69525075,3.02971,5.104188,6.232808,6.3182807,5.9567366,5.714615,5.5224085,-5.80577,5.80577,6.2653246,7.928218,10.152515,11.852965,12.856196,13.315886,13.082275,-5.666045,5.666045,13.501423,18.802004,19.853598,17.43985,14.880701,14.311285,15.0009365
27182,0.95918995,0.5546572,0.95788723,0.9587328,0.9690152,1.9664243,1.9664243,6.575676,9.047383,11.699398,15.248394,17.808743,19.15412,19.990076,-2.0026658,2.0026658,2.31894,2.0939736,1.9936283,2.1122384,2.2117577,2.2724137,2.3321338,-0.42266947,0.42266947,2.5101638,3.3079667,4.897294,6.843238,7.6510677,7.616553,7.6834617,-4.451176,4.451176,3.5531795,3.0979018,3.2712169,3.7554307,4.06828,4.339968,4.6422186,-0.69441706,0.69441706,1.449907,1.9150567,2.4867332,3.1894498,3.6499443,3.7883925,3.8937325,-5.1183968,5.1183968,3.9437559,4.095312,5.059441,5.612264,5.616716,5.551996,5.4452367,0.6523355,0.6523355,4.287073,6.523612,8.741303,10.779105,12.193198,12.952669,12.906655,30.685537,30.685537,22.857725,20.015522,19.529633,17.608469,15.222086,14.509163,15.076996
27190,0.95790386,0.5406324,0.9538441,0.95364577,0.9665251,-20.422102,20.422102,21.637466,19.301369,17.287292,17.68053,18.821447,19.60052,20.192518,2.29043,2.29043,2.3120646,2.23965,2.1252465,2.160326,2.225736,2.2759838,2.332119,-1.5425196,1.5425196,2.714342,3.3275318,4.399745,6.166544,7.205748,7.391348,7.567623,7.3937674,7.3937674,7.518494,6.4428315,5.328791,4.818754,4.6004376,4.5990095,4.764754,-8.830791,8.830791,6.632076,4.85222,3.9207697,3.7947526,3.9056964,3.908908,3.950941,0.30694503,0.30694503,1.2320691,2.233474,3.5871606,4.6807733,5.1260986,5.304113,5.3229327,20.959965,20.959965,18.298153,14.888869,12.938999,12.655659,13.016301,13.329241,13.09885,-4.730576,4.730576,8.373332,11.992075,14.949802,15.517395,14.406176,14.135225,14.870527
27198,0.9553392,0.5502489,0.9562596,0.9571113,0.9685208,23.237331,23.237331,32.671013,32.200745,27.113493,23.400879,21.802923,21.110748,20.94637,1.5351657,1.5351657,1.6327312,1.8009231,1.9008732,2.0271342,2.1474476,2.2326055,2.308371,8.561693,8.561693,10.174843,9.121279,7.80397,7.7540007,7.9448647,7.765939,7.753634,-3.2567763,3.2567763,6.8299923,7.751424,6.9210887,5.920802,5.236641,4.9336634,4.9312625,2.035768,2.035768,3.6207893,4.2099576,4.0116606,3.9070652,3.9611459,3.9395862,3.9658067,3.1054158,3.1054158,2.8679004,2.7598019,3.3740015,4.318187,4.8810663,5.1669493,5.2526884,-3.1409876,3.1409876,6.230915,8.888488,10.161578,11.205292,12.21573,12.900577,12.88903,-10.0413475,10.0413475,11.593695,12.620308,14.362192,15.116426,14.33833,14.120369,14.8413
27206,0.95534736,0.5605788,0.95677906,0.9591992,0.9688446,-23.726418,23.726418,24.309193,26.333225,25.455671,23.28095,21.923695,21.214071,21.003668,2.7520473,2.7520473,3.4306054,3.2768035,2.861638,2.5627382,2.42422,2.371833,2.3771713,21.872362,21.872362,20.20604,16.886047,13.076721,10.70931,9.4879675,8.571474,8.162849,8.043223,8.043223,8.495894,8.572649,7.8213263,6.6652446,5.717034,5.200917,5.0673604,6.8894415,6.8894415,6.3270483,5.709681,4.993621,4.4744654,4.2542977,4.091589,4.0420766,-4.4415474,4.4415474,3.5851033,3.099997,3.265619,4.027114,4.6547823,5.0315247,5.1809154,14.691466,14.691466,10.872825,9.493526,9.712268,10.632651,11.769238,12.622781,12.746769,10.225085,10.225085,9.142463,9.7539,11.767466,13.456465,13.538538,13.71865,14.614466
27214,0.9519358,0.5495403,0.95398164,0.95646054,0.96788645,-11.318426,11.318426,11.798465,15.683305,19.121292,20.18179,20.430346,20.485191,20.63951,-3.205968,3.205968,2.565534,2.5128436,2.4801414,2.3943594,2.3456333,2.3330784,2.3569682,-15.612409,15.612409,14.796268,14.638253,13.046719,11.175451,9.86797,8.820072,8.300939,-4.1482024,4.1482024,3.7706318,4.8115044,5.700824,5.705805,5.312138,5.0216312,4.979966,-5.1862445,5.1862445,5.4981937,5.5746903,5.213758,4.7186003,4.411284,4.1827693,4.0899997,5.5223103,5.5223103,5.0512743,4.374024,3.9582033,4.2387433,4.691218,5.0269346,5.17385,-27.365784,27.365784,20.947,15.97864,13.119427,12.1959,12.427456,12.900606,12.881549,0.42517525,0.42517525,1.4002669,3.7905407,7.29162,10.573681,11.998873,12.914048,14.178346
27222,0.95549196,0.5493208,0.95625937,0.95632976,0.9694975,-22.316885,22.316885,27.377998,26.657011,25.229172,23.56474,22.24816,21.432228,21.119019,-2.474004,2.474004,2.3618903,2.3559198,2.3826072,2.3548746,2.3293927,2.3252068,2.3521698,-10.241008,10.241008,11.406767,12.5364065,12.451327,11.276643,10.0808115,8.994691,8.405936,3.6700149,3.6700149,3.5156548,3.9021683,4.769776,5.1776443,5.0767136,4.9175186,4.928292,-5.6075892,5.6075892,5.0834293,5.042781,4.97112,4.676298,4.4207215,4.20039,4.1015244,-4.261997,4.261997,4.8544674,4.8474817,4.470822,4.4796867,4.77009,5.048327,5.180465,16.312086,16.312086,13.509541,12.609108,11.800419,11.55773,12.034104,12.662096,12.75923,-6.9938,6.9938,5.6097584,5.017085,6.5808773,9.424701,11.2152195,12.452996,13.904921
27230,0.9564159,0.543325,0.953142,0.9551021,0.9676409,8.908216,8.908216,9.628184,13.858975,17.745209,19.696682,20.33888,20.49459,20.651817,-0.62782127,0.62782127,1.2363992,1.6991128,2.012839,2.1666934,2.2359455,2.2781742,2.3276827,8.157548,8.157548,8.630177,9.85447,10.841824,10.638042,9.883347,8.958944,8.40596,0.69161487,0.69161487,2.0721197,2.9994748,3.988324,4.682494,4.8345857,4.8046193,4.8712087,3.3624964,3.3624964,3.3785167,3.7781892,4.1993523,4.303514,4.2514544,4.1261086,4.066753,9.120661,9.120661,7.063461,5.872484,5.076434,4.767899,4.875844,5.0826125,5.1929526,6.719475,6.719475,10.265971,11.855151,11.964724,11.790525,12.124745,12.676718,12.765176,-2.0420995,2.0420995,4.694149,5.549189,6.5421696,8.843473,10.714912,12.124892,13.694862
27238,0.9533215,0.5524223,0.95646864,0.95790905,0.9683345,23.767456,23.767456,24.774143,22.984339,22.12926,21.802292,21.402279,21.038832,20.92473,-3.8655555,3.8655555,3.2754464,2.7638173,2.5130138,2.4037168,2.351146,2.3343668,2.3545318,-8.007795,8.007795,6.9256945,7.429244,8.826788,9.517783,9.367948,8.746814,8.314634,-8.709605,8.709605,6.8975997,5.493491,5.0177937,5.072379,5.014765,4.897029,4.915503,-4.429135,4.429135,3.859817,3.7060056,3.938122,4.1199193,4.156388,4.0837326,4.0468163,9.008875,9.008875,7.4556527,6.4357443,5.5900517,5.0824966,5.0190825,5.141075,5.218521,-22.533888,22.533888,16.725906,13.889072,12.683066,12.09335,12.2094555,12.677473,12.760433,-61.10503,61.10503,41.83798,27.065819,17.987398,14.344688,13.307352,13.348178,14.260691
27246,0.95413834,0.5518848,0.95381796,0.95457244,0.96875125,44.394417,44.394417,36.18062,30.170319,26.23244,23.98685,22.558912,21.644247,21.232395,3.52798,3.52798,2.7284453,2.4196877,2.3139515,2.292311,2.2918189,2.3031569,2.3376465,19.323166,19.323166,14.507376,11.327997,10.299277,10.083095,9.657188,8.9262295,8.417176,5.237362,5.237362,4.692674,4.542077,4.5374136,4.768305,4.8541193,4.8197966,4.8753223,4.7549057,4.7549057,3.9992733,3.6686294,3.7504416,3.95402,4.058625,4.03634,4.0235324,1.7515113,1.7515113,4.976549,6.236379,6.0890036,5.555281,5.2988877,5.2834435,5.289832,13.151151,13.151151,14.581091,14.532169,13.671236,12.810029,12.584728,12.84477,12.8433895,-29.064053,29.064053,28.54417,26.250347,20.855091,16.698483,14.662558,14.040186,14.582955
27254,0.9584275,0.5569082,0.9559529,0.95938355,0.9682885,-35.891975,35.891975,30.087936,27.529179,25.509356,23.89707,22.630867,21.724327,21.282574,-3.4296749,3.4296749,2.7971575,2.4671082,2.3233733,2.2851133,2.2834728,2.296986,2.3331523,-3.7914412,3.7914412,6.0018716,7.605955,8.521437,9.166152,9.228998,8.751959,8.344897,1.8154247,1.8154247,1.818893,2.4554956,3.2161064,3.9666617,4.415938,4.5953183,4.7594576,2.012386,2.012386,2.9082427,3.3377323,3.5888734,3.8393931,3.9910693,4.0043035,4.0080237,-12.906768,12.906768,11.906679,10.376958,8.689922,7.127725,6.162635,5.7293897,5.5160146,11.767198,11.767198,14.305315,15.166088,14.64994,13.618668,13.058797,13.078138,12.963135,59.286892,59.286892,45.965164,36.695396,28.333458,21.502514,17.369791,15.452382,15.277987
27263,0.95882094,0.55188227,0.954784,0.9555907,0.9672633,-2.758249,2.758249,11.223859,17.539082,20.743803,21.751837,21.685951,21.303717,21.085522,1.7284168,1.7284168,2.0054674,2.1653118,2.2114525,2.2357783,2.2587888,2.2837796,2.3254192,-1.4180713,1.4180713,3.6319308,5.4866223,7.0409293,8.246556,8.747613,8.536339,8.248856,3.6137028,3.6137028,3.9770525,3.804543,3.810894,4.151385,4.4658256,4.611365,4.7628603,4.038577,4.038577,4.8638096,4.813164,4.506065,4.32766,4.240253,4.133982,4.0742717,-2.2988505,2.2988505,3.9498665,5.8371277,6.618872,6.3309145,5.857976,5.599831,5.457107,8.200527,8.200527,9.866229,11.774513,12.869995,12.880041,12.740729,12.915106,12.884421,-7.8770957,7.8770957,11.914307,18.041306,20.100424,18.394129,16.204123,14.967241,15.0369005
27271,0.95604455,0.55031776,0.9548827,0.9577648,0.96898293,26.342829,26.342829,24.334354,22.818607,22.700195,22.615032,22.149132,21.564947,21.224705,-2.5997133,2.5997133,2.1313038,2.0087562,2.0518756,2.1284091,2.195771,2.2489223,2.3062208,1.2769237,1.2769237,3.1049895,4.4841256,5.9821014,7.4348173,8.270825,8.306692,8.141936,-3.7436876,3.7436876,3.952346,3.962943,3.926466,4.146457,4.427761,4.5833135,4.744054,3.7888496,3.7888496,3.3795385,3.586552,3.8114696,3.9613442,4.05173,4.042111,4.029172,-2.3792675,2.3792675,2.3809385,3.4374304,4.809536,5.375071,5.4048104,5.381496,5.3505383,6.0132856,6.0132856,5.861575,7.4611273,9.710204,11.088528,11.801445,12.419102,12.633189,22.92776,22.92776,17.101526,16.197918,17.637661,17.248152,15.815256,14.83192,14.963553
27279,0.9577881,0.54958564,0.95402235,0.95538557,0.9680571,-56.828,56.828,46.364822,37.183624,30.852852,26.990486,24.469585,22.781946,21.849436,1.2801746,1.2801746,1.8759916,2.083811,2.136865,2.1747115,2.2165713,2.2574923,2.3090804,-2.5883431,2.5883431,2.995885,3.6489725,4.913686,6.5251083,7.692616,8.007195,7.9951158,10.542222,10.542222,9.194919,7.5093794,6.0616913,5.2754927,4.988863,4.8618274,4.8802,-1.2254747,1.2254747,1.4277562,2.035439,2.7610185,3.3381658,3.7100403,3.8664725,3.9403641,-0.9197498,0.9197498,3.1930563,4.105943,4.914682,5.3745103,5.418463,5.394443,5.359207,-8.320894,8.320894,6.895873,6.767473,8.265524,9.937604,11.097263,12.016216,12.421401,-17.97368,17.97368,20.745476,20.432602,20.001621,18.748875,16.803911,15.407268,15.253206
