timestamp,emg_channel_1,emg_channel_2,emg_channel_3,emg_channel_4,emg_channel_5,emg_channel_6,emg_channel_7,emg_channel_8
119622.39182120653,14049.5693359375,5237.12548828125,4759.78173828125,146.9180145263672,-580.966552734375,11698.7470703125,6391.34716796875,-9224.005859375
119622.39581846558,14272.9072265625,5220.18310546875,4486.53173828125,852.5178833007812,-767.4918212890625,11447.177734375,6190.49462890625,-9230.3544921875
119622.39981572524,14301.31640625,5301.4091796875,4430.96533203125,1309.4769287109375,-964.1871948242188,11454.28515625,6141.63330078125,-9168.5517578125
119622.40381298547,14047.0205078125,5293.54150390625,4681.55029296875,404.70068359375,-567.62255859375,11682.6533203125,6376.908203125,-9258.919921875
119622.40781024631,14042.103515625,5262.31591796875,4766.419921875,106.26019287109375,-558.9500732421875,11705.3408203125,6415.263671875,-9165.1318359375
119622.41180750776,14167.02734375,5237.37158203125,4639.17138671875,788.0330810546875,-856.87646484375,11530.7958984375,6223.08349609375,-9211.35546875
119622.4158047698,14228.0703125,5293.47412109375,4396.677734375,1362.7635498046875,-1036.8751220703125,11404.4638671875,6111.68212890625,-9250.0458984375
119622.41980061625,14124.55859375,5306.05810546875,4644.64794921875,497.0357360839844,-521.7344360351562,11632.25,6345.59326171875,-9069.0859375
119622.42379646354,14101.2685546875,5239.94189453125,4686.84765625,32.38767623901367,-391.557861328125,11669.935546875,6430.52978515625,-9073.35546875
119622.4277923117,14135.265625,5232.56591796875,4630.365234375,529.490478515625,-796.057373046875,11593.89453125,6274.62646484375,-9201.4755859375
119622.4317881607,14290.7666015625,5300.1796875,4466.68310546875,1482.2783203125,-1014.7244873046875,11430.48046875,6108.7763671875,-9241.171875
119622.43578401057,14158.779296875,5295.70947265625,4598.3349609375,651.083984375,-584.0957641601562,11595.66015625,6306.052734375,-9125.0107421875
119622.43977986128,14111.662109375,5262.11474609375,4727.14794921875,132.5011444091797,-437.5130310058594,11694.1201171875,6412.8720703125,-9062.044921875
119622.44377571283,14101.24609375,5243.0712890625,4747.64453125,425.6666259765625,-683.918701171875,11659.564453125,6304.4658203125,-9219.4462890625
119622.44777156525,14238.3740234375,5262.89697265625,4441.35888671875,1358.0025634765625,-994.80908203125,11409.068359375,6088.48095703125,-9332.1435546875
119622.4517674185,14181.0419921875,5294.0107421875,4507.85498046875,786.1779174804688,-728.8233032226562,11563.0263671875,6260.4775390625,-9121.5009765625
119622.45576327262,14185.7138671875,5259.611328125,4705.0869140625,177.2046356201172,-577.7478637695312,11680.26171875,6378.71826171875,-9114.1474609375
119622.4597612062,14157.5283203125,5198.52392578125,4714.474609375,219.02474975585938,-527.9705810546875,11625.455078125,6352.455078125,-9161.33203125
119622.46375914026,14195.3916015625,5290.88134765625,4488.185546875,1349.12890625,-868.7899780273438,11437.0751953125,6142.66162109375,-9349.0869140625
119622.4677570748,14138.193359375,5314.41796875,4517.46630859375,951.983154296875,-731.5502319335938,11516.982421875,6237.05322265625,-9343.0068359375
119622.47175500981,14091.7470703125,5254.09033203125,4686.37841796875,162.8548126220703,-492.006591796875,11678.16015625,6398.0751953125,-9043.962890625
119622.47575294529,14135.064453125,5257.33154296875,4780.70263671875,182.859619140625,-463.5751647949219,11706.0107421875,6402.03125,-9009.4736328125
119622.47975088125,14237.2568359375,5265.35595703125,4528.84326171875,1135.1781005859375,-919.8860473632812,11471.4521484375,6137.587890625,-9205.38671875
119622.48374881769,14185.04296875,5297.27392578125,4512.2138671875,1213.744384765625,-826.3663330078125,11515.9091796875,6172.85888671875,-9172.1279296875
