timestamp,thumb,index,middle,ring,pinky,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16
44953,1.0,1.0,1.0,1.0,1.0,-0.3285187,-0.6246696,-2.0369534,4.3232446,-14.795583,-4.646414,5.853746,-0.16112034,-3.699559,-0.0807726,-0.81934416,0.82961357,-0.77764726,-0.74518716,-0.7742017,-0.7805337
44961,1.0,1.0,1.0,1.0,1.0,-0.9001679,0.38241917,0.27285194,-0.36232755,2.5863059,2.7663789,-2.4464896,-8.661405,-1.1200825,-2.7832003,-1.0545591,1.082146,-0.9847247,-0.9794972,-0.9898101,-0.94156045
44969,1.0,1.0,1.0,1.0,1.0,-1.1266096,0.023136912,-0.00575199,0.5039207,7.1383157,6.24691,-12.668665,-3.3227623,2.3105712,-4.5185256,-0.37502268,0.33543468,-0.34238893,-0.32724795,-0.29914358,-0.30371782
44977,1.0,1.0,1.0,1.0,1.0,0.8259501,-0.8153403,0.81834084,0.10397746,13.390321,7.991953,-20.57164,11.167272,0.5548889,-2.551559,0.6399462,-0.70411354,0.55961525,0.5672737,0.5787457,0.50159866
44985,1.0,1.0,1.0,1.0,1.0,2.2501392,1.3333864,3.4756396,-5.945538,-18.08514,-3.8285446,11.529262,-1.0671633,-0.54802305,13.977302,1.1159725,-1.1582893,1.0139813,0.992163,1.0170876,0.9531676
44993,1.0,1.0,1.0,1.0,1.0,0.78756297,2.9510458,1.5050025,-6.124518,-44.807224,-8.494996,43.244873,-30.628357,1.1359745,11.444586,-0.17668198,0.1590598,-0.21072331,-0.22307748,-0.15387031,-0.18145204
45001,1.0,1.0,1.0,1.0,1.0,0.022695692,0.6151784,-2.686055,3.2305567,17.14086,4.0410256,8.625192,9.966958,-1.4686846,-12.103937,-1.2065974,1.2991722,-1.2001069,-1.1900353,-1.163218,-1.1697879
45009,1.0,1.0,1.0,1.0,1.0,-4.596289,-4.1089993,-2.2217026,7.554273,59.4887,8.488455,-74.3575,44.26824,0.2610676,-10.795646,-0.41384342,0.5862465,-0.34617355,-0.3470412,-0.41723505,-0.3448204
45017,1.0,1.0,1.0,1.0,1.0,-3.2494833,-3.0742843,0.35009956,1.525845,9.133124,8.2919035,-4.555449,-22.117716,3.9698048,-9.26543,0.1764635,-0.09877228,0.2128991,0.16082983,0.10363968,0.19093539
45025,1.0,1.0,1.0,1.0,1.0,2.2850847,-4.012791,0.71022713,-1.1024313,-29.555658,-2.7393072,35.9874,-12.823671,2.2709866,2.943393,0.88739425,-0.8871716,0.90616107,0.87307525,0.92849857,0.909524
45033,1.0,1.0,1.0,1.0,1.0,-0.4824926,-3.8056536,-0.5371799,1.9479083,-10.55746,-6.8838153,-32.449814,35.997173,-0.38860598,9.963489,0.8709261,-0.8799221,0.90473604,0.93282664,1.029255,0.95515966
45041,1.0,1.0,1.0,1.0,1.0,-2.6713257,9.867739,-0.8570159,2.4762802,3.9803472,6.610917,7.1019797,-13.11753,-3.295394,-10.639055,-0.4368055,0.43263876,-0.50328964,-0.4330036,-0.4578939,-0.49096182
45049,1.0,1.0,1.0,1.0,1.0,15.247735,18.146088,1.8591937,-3.6914139,1.6630348,11.158627,35.65476,-35.55462,-5.610045,-6.8126106,-0.96151936,0.99256593,-1.0391954,-1.016464,-1.0678778,-1.083637
45057,1.0,1.0,1.0,1.0,1.0,3.7199001,-4.6920686,1.4318842,-12.197333,-35.906994,-8.821116,54.736023,-27.934147,-0.73598814,9.156168,-0.03579703,-0.0538564,-0.022190621,-0.06250619,-0.09257814,-0.05588835
45065,1.0,1.0,1.0,1.0,1.0,-23.731289,-14.570078,-2.0976858,-1.107188,-9.173943,-7.2967544,14.07785,11.354158,1.8046222,7.764911,0.025169836,-0.18531129,0.061991595,0.048400234,-0.0020187704,0.053801835
45073,1.0,1.0,1.0,1.0,1.0,11.67399,-1.3016196,0.31867287,8.080636,56.512733,-1.1514353,-62.081028,39.68622,0.70691514,1.8701082,0.20341782,-0.30620703,0.24165857,0.21346167,0.2080493,0.22376493
45081,1.0,1.0,1.0,1.0,1.0,8.557248,-2.0975175,2.1188846,-0.09748575,24.114313,-1.6937952,-24.53235,0.81005293,1.6087338,-1.1590911,0.7980538,-0.80744386,0.7577546,0.7951361,0.8073654,0.79641926
45089,1.0,1.0,1.0,1.0,1.0,-30.657726,-4.4343486,-1.0349865,-5.5747437,-42.862614,0.21167217,43.433857,-37.977013,1.5717355,-7.7238736,0.015801495,0.04963183,-0.10016796,-0.04780974,0.009092426,-0.023531219
45097,1.0,1.0,1.0,1.0,1.0,10.535933,6.601652,-0.09028758,-1.9213443,-30.870373,3.895845,-11.431101,11.044701,-1.1361412,-6.5015955,-0.52017313,0.6568672,-0.5506898,-0.6267243,-0.47042733,-0.5293062
45105,1.0,1.0,1.0,1.0,1.0,21.210587,4.6631603,0.7673202,6.4163036,19.657858,0.4446521,-42.064026,41.750595,1.579888,9.710367,-0.7233545,0.87334216,-0.7080137,-0.74823505,-0.72594285,-0.70435524
45113,1.0,1.0,1.0,1.0,1.0,-16.494848,0.41769293,-2.3378623,5.854822,20.38725,1.3193258,15.570947,-21.641047,3.0911663,2.6499958,-0.4087751,0.5195913,-0.4061805,-0.35888815,-0.4888537,-0.40607405
45121,1.0,1.0,1.0,1.0,1.0,3.8459036,-1.067181,-2.2622342,-2.582548,-21.81951,-6.21658,46.348873,-36.23326,-3.0215826,-9.634593,1.1870338,-1.2542405,1.2784519,1.2981899,1.1977789,1.2112235
45129,1.0,1.0,1.0,1.0,1.0,12.2399025,-7.210116,0.88195986,1.3197945,16.738445,1.1821628,8.225027,18.786764,-1.0023649,-0.6908395,0.7534726,-0.98089415,0.8628439,0.888948,0.8188507,0.80135065
45137,1.0,1.0,1.0,1.0,1.0,-4.0134525,1.2216476,-0.27771163,-1.3234231,-43.501755,2.2400434,32.204906,-13.607692,-0.26109946,-5.536389,0.6848981,-0.7645829,0.71309173,0.68739164,0.724585,0.68467444
45145,1.0,1.0,1.0,1.0,1.0,-15.13557,9.375799,-0.5975027,-3.6295073,-88.646034,-8.995984,40.84018,-27.512564,-11.827313,-5.068473,0.29385093,-0.30024076,0.31722018,0.23442465,0.3294404,0.26735097
